day_number,process,floor,trade,is_invalid,is_rework,daily_work_done,efficiency,start_day,complete_day,recorded_at
159,Pipes in the wall,5,Plumbing,TRUE,TRUE,0,0.00%,157,null,2025-03-25 11:54:28.699895+00
159,Wall tiling,2,Tiling,TRUE,TRUE,0,0.00%,142,null,2025-03-25 11:54:28.699895+00
160,Partition phase 3,3,Partition,FALSE,TRUE,32,100.00%,157,null,2025-03-25 11:54:28.699895+00
160,Pipes in the wall,5,Plumbing,FALSE,TRUE,35,94.59%,157,null,2025-03-25 11:54:28.699895+00
160,Wall tiling,2,Tiling,FALSE,TRUE,28,103.70%,142,null,2025-03-25 11:54:28.699895+00
161,Partition phase 3,3,Partition,FALSE,TRUE,33,103.13%,157,null,2025-03-25 11:54:28.699895+00
161,Pipes in the wall,5,Plumbing,TRUE,TRUE,0,0.00%,157,null,2025-03-25 11:54:28.699895+00
161,Wall tiling,2,Tiling,FALSE,TRUE,26,96.30%,142,null,2025-03-25 11:54:28.699895+00
162,Partition phase 3,3,Partition,FALSE,TRUE,30,93.75%,157,null,2025-03-25 11:54:28.699895+00
162,Pipes in the wall,5,Plumbing,FALSE,TRUE,39,105.41%,157,null,2025-03-25 11:54:28.699895+00
162,Wall tiling,2,Tiling,FALSE,TRUE,28,103.70%,142,null,2025-03-25 11:54:28.699895+00
163,Partition phase 3,3,Partition,FALSE,TRUE,29,90.63%,157,null,2025-03-25 11:54:28.699895+00
163,Pipes in the wall,5,Plumbing,TRUE,TRUE,0,0.00%,157,null,2025-03-25 11:54:28.699895+00
163,Wall tiling,2,Tiling,TRUE,TRUE,0,0.00%,142,null,2025-03-25 11:54:28.699895+00
164,Partition phase 3,3,Partition,TRUE,TRUE,0,0.00%,157,null,2025-03-25 11:54:28.699895+00
164,Pipes in the wall,5,Plumbing,TRUE,TRUE,0,0.00%,157,null,2025-03-25 11:54:28.699895+00
164,Wall tiling,2,Tiling,FALSE,TRUE,28,103.70%,142,null,2025-03-25 11:54:28.699895+00
165,Partition phase 3,3,Partition,TRUE,TRUE,0,0.00%,157,null,2025-03-25 11:54:28.699895+00
165,Pipes in the wall,5,Plumbing,FALSE,TRUE,34,91.89%,157,null,2025-03-25 11:54:28.699895+00
165,Wall tiling,2,Tiling,FALSE,TRUE,29,107.41%,142,165,2025-03-25 11:54:28.699895+00
166,Partition phase 3,3,Partition,FALSE,TRUE,30,93.75%,157,166,2025-03-25 11:54:28.699895+00
166,Pipes in the wall,5,Plumbing,TRUE,TRUE,0,0.00%,157,null,2025-03-25 11:54:28.699895+00
167,Partition phase 3,4,Partition,FALSE,TRUE,29,90.63%,166,null,2025-03-25 11:54:28.699895+00
167,Pipes in the wall,5,Plumbing,FALSE,TRUE,36,97.30%,157,null,2025-03-25 11:54:28.699895+00
167,Wall tiling,3,Tiling,TRUE,TRUE,0,0.00%,166,null,2025-03-25 11:54:28.699895+00
168,Partition phase 3,4,Partition,FALSE,TRUE,32,100.00%,166,null,2025-03-25 11:54:28.699895+00
168,Pipes in the wall,5,Plumbing,FALSE,TRUE,40,108.11%,157,168,2025-03-25 11:54:28.699895+00
168,Wall tiling,3,Tiling,TRUE,TRUE,0,0.00%,166,null,2025-03-25 11:54:28.699895+00
169,Partition phase 3,4,Partition,TRUE,TRUE,0,0.00%,166,null,2025-03-25 11:54:28.699895+00
169,Wall tiling,3,Tiling,TRUE,TRUE,0,0.00%,166,null,2025-03-25 11:54:28.699895+00
170,Partition phase 3,4,Partition,TRUE,TRUE,0,0.00%,166,null,2025-03-25 11:54:28.699895+00
170,Wall tiling,3,Tiling,FALSE,TRUE,25,92.59%,166,null,2025-03-25 11:54:28.699895+00
171,Partition phase 3,4,Partition,TRUE,TRUE,0,0.00%,166,null,2025-03-25 11:54:28.699895+00
171,Wall tiling,3,Tiling,FALSE,TRUE,25,92.59%,166,null,2025-03-25 11:54:28.699895+00
172,Partition phase 3,4,Partition,TRUE,TRUE,0,0.00%,166,null,2025-03-25 11:54:28.699895+00
172,Wall tiling,3,Tiling,FALSE,TRUE,24,88.89%,166,null,2025-03-25 11:54:28.699895+00
173,Partition phase 3,4,Partition,FALSE,TRUE,30,93.75%,166,null,2025-03-25 11:54:28.699895+00
173,Wall tiling,3,Tiling,TRUE,TRUE,0,0.00%,166,null,2025-03-25 11:54:28.699895+00
174,Partition phase 3,4,Partition,TRUE,TRUE,0,0.00%,166,null,2025-03-25 11:54:28.699895+00
174,Wall tiling,3,Tiling,TRUE,TRUE,0,0.00%,166,null,2025-03-25 11:54:28.699895+00
175,Partition phase 3,4,Partition,FALSE,TRUE,32,100.00%,166,null,2025-03-25 11:54:28.699895+00
175,Wall tiling,3,Tiling,TRUE,TRUE,0,0.00%,166,null,2025-03-25 11:54:28.699895+00
176,Partition phase 3,4,Partition,FALSE,TRUE,34,106.25%,166,null,2025-03-25 11:54:28.699895+00
176,Wall tiling,3,Tiling,FALSE,TRUE,25,92.59%,166,null,2025-03-25 11:54:28.699895+00
177,Partition phase 3,4,Partition,FALSE,TRUE,33,103.13%,166,null,2025-03-25 11:54:28.699895+00
177,Wall tiling,3,Tiling,TRUE,TRUE,0,0.00%,166,null,2025-03-25 11:54:28.699895+00
178,Partition phase 3,4,Partition,TRUE,TRUE,0,0.00%,166,null,2025-03-25 11:54:28.699895+00
178,Wall tiling,3,Tiling,FALSE,TRUE,29,107.41%,166,null,2025-03-25 11:54:28.699895+00
179,Partition phase 3,4,Partition,TRUE,TRUE,0,0.00%,166,null,2025-03-25 11:54:28.699895+00
179,Wall tiling,3,Tiling,FALSE,TRUE,25,92.59%,166,null,2025-03-25 11:54:28.699895+00
180,Partition phase 3,4,Partition,FALSE,TRUE,31,96.88%,166,180,2025-03-25 11:54:28.699895+00
180,Wall tiling,3,Tiling,FALSE,TRUE,26,96.30%,166,null,2025-03-25 11:54:28.699895+00
181,Partition phase 2,5,Partition,FALSE,TRUE,52,101.96%,180,181,2025-03-25 11:54:28.699895+00
181,Wall tiling,3,Tiling,TRUE,TRUE,0,0.00%,166,null,2025-03-25 11:54:28.699895+00
